time_s,success,nodes_expanded,goal,route_time_s,algorithm,route_length_m,start,error
0.0021355999633669853,True,0,3775592833,,bfs,1844.5381609420542,1672736165,
0.0004966999404132366,True,0,3775592833,,dfs,7482.09195277113,1672736165,
0.020267900079488754,True,0,3775592833,,ucs,1844.5381609420542,1672736165,
0.08039669995196164,True,363,3775592833,,iddfs,1844.5381609420542,1672736165,
0.0014899000525474548,True,0,3775592833,,astar,1844.5381609420542,1672736165,
5.889986641705036e-05,True,0,7535436895,,bfs,248.43218164523088,7535400778,
2.8700102120637894e-05,True,0,7535436895,,dfs,248.43218164523088,7535400778,
0.011982999974861741,True,0,7535436895,,ucs,248.43218164523088,7535400778,
7.589999586343765e-05,True,4,7535436895,,iddfs,248.43218164523088,7535400778,
0.00012529990635812283,True,0,7535436895,,astar,248.43218164523088,7535400778,
0.00040500005707144737,True,0,8770958608,,bfs,1529.2517460166507,8354034092,
0.0005867001600563526,True,0,8770958608,,dfs,9606.81533882229,8354034092,
0.019106199964880943,True,0,8770958608,,ucs,1459.1038656581993,8354034092,
0.6924995998851955,True,483,8770958608,,iddfs,1504.1545063235562,8354034092,
0.005823299987241626,True,0,8770958608,,astar,1459.1038656581993,8354034092,
9.980006143450737e-05,True,0,4613490182,,bfs,196.50800281965752,1973203227,
0.01863280008547008,True,0,4613490182,,dfs,682.037972604172,1973203227,
0.010992799885571003,True,0,4613490182,,ucs,196.50800281965752,1973203227,
0.00026899995282292366,True,21,4613490182,,iddfs,196.50800281965752,1973203227,
0.000354300020262599,True,0,4613490182,,astar,196.50800281965752,1973203227,
0.00011259992606937885,True,0,6146236877,,bfs,379.90413326416655,1973203244,
0.0006558001041412354,True,0,6146236877,,dfs,8895.003942459394,1973203244,
0.012047399999573827,True,0,6146236877,,ucs,379.90413326416655,1973203244,
0.0007547000423073769,True,77,6146236877,,iddfs,379.90413326416655,1973203244,
0.0003345001023262739,True,0,6146236877,,astar,379.90413326416655,1973203244,
