bruteforce_dist_m,coords_projected,query_lon,kdtree_build_time_s,test_id,bruteforce_time_s,consistent_node,kdtree_dist_m,kdtree_node,query_lat,bruteforce_node,kdtree_time_s
0.0,True,660931.9972239501,0.0023849010467529297,1,0.004212141036987305,True,0.0,28791819,2289270.1189286173,28791819,0.00040411949157714844
0.0,True,660954.3862682641,0.0023849010467529297,2,0.004225015640258789,True,0.0,7732044204,2289217.5019180384,7732044204,0.00037789344787597656
0.0,True,660994.6470875225,0.0023849010467529297,3,0.0040798187255859375,True,0.0,11627190859,2289355.4753781846,11627190859,0.0003719329833984375
0.0,True,661028.9647656435,0.0023849010467529297,4,0.004212141036987305,True,0.0,273152670,2289402.189939886,273152670,0.0003628730773925781
0.0,True,661166.4514103795,0.0023849010467529297,5,0.0042231082916259766,True,0.0,273153681,2289560.775924537,273153681,0.0003628730773925781
0.0,True,661428.279614885,0.0023849010467529297,6,0.004133939743041992,True,0.0,1916552693,2289942.3145259037,1916552693,0.0003600120544433594
0.0,True,660908.9636977579,0.0023849010467529297,7,0.00409698486328125,True,0.0,273152800,2289282.165939332,273152800,0.0004029273986816406
0.0,True,660875.2758504674,0.0023849010467529297,8,0.004125118255615234,True,0.0,1928470834,2289270.9621309973,1928470834,0.00036907196044921875
0.0,True,660835.8669789908,0.0023849010467529297,9,0.004214048385620117,True,0.0,273152806,2288942.8319709543,273152806,0.0003669261932373047
0.0,True,660822.9045613753,0.0023849010467529297,10,0.004045009613037109,True,0.0,10208202804,2288879.681751759,10208202804,0.00038814544677734375
0.0,True,661196.3071775711,0.0023849010467529297,11,0.0041120052337646484,True,0.0,1916552528,2289603.3741906886,1916552528,0.0003669261932373047
0.0,True,660659.5002303359,0.0023849010467529297,12,0.004092216491699219,True,0.0,273154015,2289538.727486914,273154015,0.00034999847412109375
0.0,True,665500.2829480609,0.0023849010467529297,13,0.004190921783447266,True,0.0,273161594,2293352.936235247,273161594,0.0003619194030761719
0.0,True,665225.2173866461,0.0023849010467529297,14,0.004241228103637695,True,0.0,1381059348,2293087.1295279944,1381059348,0.0003578662872314453
0.0,True,661415.7952539786,0.0023849010467529297,15,0.004225015640258789,True,0.0,273161610,2289958.0376494406,273161610,0.0003609657287597656
0.0,True,660996.9728331052,0.0023849010467529297,16,0.004074811935424805,True,0.0,1674683176,2289396.703572487,1674683176,0.00035691261291503906
0.0,True,661333.0071768524,0.0023849010467529297,17,0.0041959285736083984,True,0.0,8792172225,2289865.7002168517,8792172225,0.0003509521484375
0.0,True,665032.7425185565,0.0023849010467529297,18,0.004292964935302734,True,0.0,291069678,2289188.4941527746,291069678,0.000377655029296875
0.0,True,665044.4723420604,0.0023849010467529297,19,0.004309177398681641,True,0.0,1668223797,2288848.6142957727,1668223797,0.0003571510314941406
0.0,True,665055.435239166,0.0023849010467529297,20,0.004017829895019531,True,0.0,1376387266,2289089.1311423145,1376387266,0.00036597251892089844
